Player Level,Exp Required
int,int
1,0
2,1000
3,3000
4,6000
5,10000
6,15000
7,21000
8,28000
9,36000
10,45000
11,55000
12,66000
13,78000
14,91000
15,105000
16,120000
17,136000
18,153000
19,171000
20,190000
21,210000
22,231000
23,253000
24,276000
25,300000
26,325000
27,351000
28,378000
29,406000
30,435000
31,465000
32,496000
33,528000
34,561000
35,595000
36,630000
37,666000
38,703000
39,741000
40,780000
41,820000
42,861000
43,903000
44,946000
45,990000
46,1035000
47,1081000
48,1128000
49,1176000
50,1225000
51,1275000
52,1326000
53,1378000
54,1431000
55,1485000
56,1540000
57,1596000
58,1653000
59,1711000
60,1770000
61,1830000
62,1891000
63,1953000
64,2016000
65,2080000
66,2145000
67,2211000
68,2278000
69,2346000
70,2415000
71,2485000
72,2556000
73,2628000
74,2701000
75,2775000
76,2850000
77,2926000
78,3003000
79,3081000
80,3160000
81,3240000
82,3321000
83,3403000
84,3486000
85,3570000
86,3655000
87,3741000
88,3828000
89,3916000
90,4005000
91,4095000
92,4186000
93,4278000
94,4371000
95,4465000
96,4560000
97,4656000
98,4753000
99,4851000
100,4950000