Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
GAME_NAME,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim,zombie sim
GAME_DESCRIPTION,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp,temp
OBTAIN,Obtained {0} {1},獲得{0} {1},ได้รับ {0} {1},Nhận được {0} {1},Diperoleh {0} {1},Obtido {0} {1},Obtenido {0} {1},Получен {0} {1},Obtenu {0} {1},Erhalten {0} {1},Elde edilen {0} {1},प्राप्त {0} {1},Obținut {0} {1},تم الحصول عليها {0} {1},ရရှိသော {0} 0} {1},حاصل {0} {1},প্রাপ্ত {0} {1}
CONSUME,Consumed {0} {1},消耗{0} {1},บริโภค {0} {1},Sử dụng {0} {1},Dikonsumsi {0} {1},Consumido {0} {1},Consumido {0} {1},Потребляется {0} {1},Consommé {0} {1},Konsumiert {0} {1},Tüketildi {0} {1},उपभोग {0} {1},Consumat {0} {1},استهلاك {0} {1},စားသုံး {0} 0} {1},استعمال شدہ {0} {1},গ্রাস {0} {1}
MAT_WOOD_LOG,Wood log,木材原木,ไม้ซุง,Khúc gỗ,Log kayu,Tronco de madeira,Tronco de madera,Бревно,Bûche de bois,Holzstamm,Ahşap kütük,लकड़ी का लट्ठा,Jurnal de lemn,سجل الخشب,သစ်သားမှတ်တမ်း,لکڑی نوشتہ جات,কাঠ লগ
REC_MATERIAL_PROCESSOR,Material Processor,材料處理器,เครื่องประมวลผลวัสดุ,Máy xử lý nguyên liệu,Prosesor material,Processador de materiais,Procesador de materiales,Материальный процессор,Processeur de matériaux,Materialprozessor,Malzeme işlemcisi,सामग्री प्रक्रमक,Procesor de materiale,معالج المواد,ပစ္စည်း Processor,مادی پروسیسر,উপাদান প্রসেসর
PET_DOG,Corgi,科爾基,คอร์กี้,Chó Corgi,Corgi,Corgi,Corgi,Корги,Corgi,Corgi,Corgi,CORGI,Corgi,كورجي,corgi,کورگی,করগি
ZONE_SELECTION_NO_ZONE_SELECTED,You have not selected a zone.,您尚未選擇一個區域。,คุณยังไม่ได้เลือกโซน,Bạn chưa chọn vùng.,Anda belum memilih zona.,Você não selecionou uma zona.,No ha seleccionado una zona.,Вы не выбрали зону.,Vous n'avez pas sélectionné de zone.,Sie haben keine Zone ausgewählt.,Bir bölge seçmediniz.,आपने एक क्षेत्र का चयन नहीं किया है।,Nu ați selectat o zonă.,لم تحدد منطقة.,သငျသညျဇုန်ကိုမရွေးကြဘူး။,آپ نے کسی زون کا انتخاب نہیں کیا ہے۔,আপনি একটি অঞ্চল নির্বাচন করেন নি।
ZONE_SELECTION_IS_TELEPORTING,You are being teleported.,您正在被傳送。,คุณกำลังถูกเคลื่อนย้าย,Bạn đang dịch chuyển.,Anda sedang diteleportasi.,Você está sendo teleportado.,Estás siendo teletransportado.,Вы телепортируются.,Vous êtes téléporté.,Sie werden teleportiert.,Sen ışınlanıyorsun.,आपको टेलीपोर्ट किया जा रहा है।,Ești teleportat.,أنت يتم نقلك عن بعد.,သင်တယ်လီပို့ခံရသည်,آپ کو ٹیلیفون کیا جارہا ہے۔,আপনি টেলিপোর্ট করা হচ্ছে।
LEVEL_MAX_EXP,You have obtained maximum experience,您獲得了最大的經驗,คุณได้รับประสบการณ์สูงสุด,Bạn đã đạt được tối đa kinh nghiệm,Anda telah memperoleh pengalaman maksimal,Você obteve a experiência máxima,Has obtenido la máxima experiencia,Вы получили максимальный опыт,Vous avez obtenu une expérience maximale,Sie haben maximale Erfahrung gesammelt,Maksimum deneyim elde ettiniz,आपने अधिकतम अनुभव प्राप्त किया है,Ați obținut experiență maximă,لقد حصلت على أقصى خبرة,သင်အများဆုံးအတွေ့အကြုံရရှိခဲ့ပါပြီ,آپ نے زیادہ سے زیادہ تجربہ حاصل کیا ہے,আপনি সর্বাধিক অভিজ্ঞতা অর্জন করেছেন
INVENTORY,Inventory,存貨,รายการสิ่งของ,Kho chưa,Inventaris,Inventário,Inventario,Инвентарь,Inventaire,Inventar,Envanter,भंडार,Inventar,جرد,စာရင်း,انوینٹری,ইনভেন্টরি